Course,Title,Program,Quantitative Reasoning,Scientific Inquiry,Artistic Process,Social Inequality,Cultural Differences,Ethical Judgment
INRL 180,Intro to Int Relations,International Relations,,Partially,,Partially,Partially,Partially
INRL 205,Capitalism,International Relations,,Partially,,Partially,,
INRL 208,Gender and Politics in MENA,International Relations,,Substantially,,Substantially,Substantially,
INRL 246,East Asia,International Relations,,,,,Substantially,
INRL 248,Politics of Development,International Relations,,Substantially,,Substantially,Partially,Partially
INRL 254,Globalization,International Relations,,Partially,,Partially,Substantially,
INRL 258,"State, Society & Market M East",International Relations,,Partially,,Partially,Substantially,
INRL 260,Human Rights and Int'l Law,International Relations,,,,,Partially,Substantially
INRL 275,Intl Enviro Insecurity,International Relations,,Partially,,Partially,Partially,Partially
INRL 281,South Asia,International Relations,,,,,Substantially,
INRL 285,"Borders, Belonging, and Rights",International Relations,,Partially,,Partially,Substantially,
INRL 290,American Foreign Policy,International Relations,,,,,,Partially
INRL 301,India,International Relations,,Substantially,,Substantially,Substantially,
INRL 304,Afghanistan,International Relations,,,,,Substantially,
INRL 350,China,International Relations,,,,,Substantially,
INRL 366,Islamic Political Thought,International Relations,,,,,Substantially,Substantially
INRL 380,Theories of Intl Relations,International Relations,,,,,,Partially
ITA 101,Beginning Italian,Italian,,,,,Substantially,
ITA 102,Beginning Italian II,Italian,,,,,Substantially,
ITA 201,Intermediate Italian I,Italian,,,,,Substantially,
ITA 202,Inter Italian II,Italian,,,,,Substantially,
ITAE 285,Dante's Divine Comedy,Italian,,,,,Substantially,Substantially
JPN 101,Beginning Japanese I,Japanese,,,,,Substantially,
JPN 102,Beginning Japanese II,Japanese,,,,,Substantially,
JPN 201,Intermediate Japanese I,Japanese,,,,,Substantially,
JPN 202,Intermediate Japanese II,Japanese,,,,,Substantially,
JPN 301,Advanced Japanese I,Japanese,,,,,Substantially,
JPN 302,Advanced Japanese II,Japanese,,,,,Substantially,
LAT 101,Beg Latin I,Classics,,,,,Substantially,
LAT 102,Beg Latin II,Classics,,,,,Substantially,
LAT 223,Medieval Latin,Classics,,,,,Substantially,
LAT 238,Latin Epic (Vergil Or Ovid),Classics,,Partially,,Partially,Substantially,
LAT 248,Cicero and Pliny,Classics,,,,,Substantially,Partially
LAT 255,Lat. Historian:Tacitus or Livy,Classics,,,,,Substantially,
LAT 262,Latin Love Poetry,Classics,,Partially,,Partially,Substantially,
LAT 264,Petronius or Seneca,Classics,,,,,Substantially,Substantially
LAT 301,Adv Readings I,Classics,,,,,Substantially,
LAT 302,Adv Readings II,Classics,,,,,Substantially,
LAT 303,Adv Readings III,Classics,,,,,Substantially,
LGBT 101,Intro to LGBTQ Studies,Lesbian Gay & Bisexual,,Substantially,,Substantially,,Partially
LGBT 202,Sex Histories,Lesbian Gay & Bisexual,,Substantially,,Substantially,,Partially
LGBT 204,Sexuality & Disability,Lesbian Gay & Bisexual,,Substantially,,Substantially,,
LGBT 206,"Sexuality, Power, Environments",Lesbian Gay & Bisexual,,Substantially,,Substantially,,Substantially
LGBT 207,Transnational Intimacies & Sex,Lesbian Gay & Bisexual,,Substantially,,Substantially,,Partially
LGBT 209,Queer of Color Critique,Lesbian Gay & Bisexual,,Substantially,,Substantially,Substantially,
LGBT 302,Trans*Feminisms,Lesbian Gay & Bisexual,,Substantially,,Substantially,,Substantially
LGBT 306,"Sexuality, Power, Environments",Lesbian Gay & Bisexual,,Substantially,,Substantially,,Substantially
LGBT 307,Transnational Intimacies & Sex,Lesbian Gay & Bisexual,,Substantially,,Substantially,,Partially
LGBT 310,Queer Theory and Methods,Lesbian Gay & Bisexual,,Substantially,,Substantially,Substantially,Partially
LGBT 403,Capstone: Queer Theory,Lesbian Gay & Bisexual,,Substantially,,Substantially,,Partially
LTAM 210,Latin American Perspectives,Latin American,,Substantially,,Substantially,Substantially,
LTAM 255,Inside the New Cuba,Latin American,,Partially,,Partially,Substantially,Partially
MATH 110,Discovering in Mathematics,Math & Computer Science,Substantially,,,,,
MATH 114,Math for Informed Citizenship,Math & Computer Science,Substantially,,,,,
MATH 115,Foundations of School Math,Math & Computer Science,Substantially,,,,,
MATH 130,Calculus I,Math & Computer Science,Substantially,,,,,
MATH 131,Calculus II,Math & Computer Science,Substantially,,,,,
MATH 135,First Steps Into Adv. Math,Math & Computer Science,Substantially,,,,,
MATH 204,Linear Algebra,Math & Computer Science,Substantially,,,,,
MATH 214,App Linear Algebra,Math & Computer Science,Substantially,,,,,
MATH 232,Multivariable Calculus,Math & Computer Science,Substantially,,,,,
MATH 237,Differential Equations,Math & Computer Science,Substantially,,,,,
MATH 278,Number Theory,Math & Computer Science,Substantially,,,,,
MATH 313,Graph Theory,Math & Computer Science,Substantially,,,,,
MATH 331,Fndtns. Analysis I,Math & Computer Science,Substantially,,,,,
MATH 350,Probability,Math & Computer Science,Substantially,,,,,
MATH 351,Math. Statistics,Math & Computer Science,Substantially,,,,,
MATH 353,Mathematical Models,Math & Computer Science,Substantially,,,,,
MATH 360,Fndtns. of Geometry,Math & Computer Science,Substantially,,,,,
MATH 371,Topics in Mathematics,Math & Computer Science,Substantially,,,,,
MATH 375,Abstract Algebra I,Math & Computer Science,Substantially,,,,,
MATH 380,Mathematical Logic,Math & Computer Science,Substantially,,,,,
MATH 436,Topology,Math & Computer Science,Substantially,,,,,
MATH 448,Complex Analysis,Math & Computer Science,Substantially,,,,,
MATH 471,Mathematics Capstone,Math & Computer Science,Substantially,,,,,
MDSC 100,Intro to Media & Society,Media and Society,,Partially,Partially,Partially,Partially,
MDSC 101,Information & Influence,Media and Society,,,,,,Substantially
MDSC 120,Intro to Global Television,Media and Society,,Partially,Partially,Partially,Substantially,
MDSC 130,Intro to Global Animation,Media and Society,,,Substantially,,Partially,
MDSC 140,Body Moves,Media and Society,,Partially,Partially,Partially,,
MDSC 150,The Visual Story,Media and Society,,,Substantially,,,
MDSC 200,Cultures of Advertising,Media and Society,,Partially,Partially,Partially,Partially,
MDSC 203,History of US Television,Media and Society,,Partially,Partially,Partially,Partially,
MDSC 206,Script to Screen,Media and Society,,,Substantially,,,
MDSC 207,Dance on Film,Media and Society,,,Substantially,,,
MDSC 209,German Cinema,Media and Society,,Partially,,Partially,Substantially,
MDSC 304,Media and Theory,Media and Society,,Substantially,,Substantially,,
MDSC 305,Film Editing I,Media and Society,,,Substantially,,,
MDSC 307,Medicine and Society,Media and Society,,Partially,,Partially,,Partially
MDSC 308,Cinematic Effects,Media and Society,,,Substantially,,,
MDSC 309,Media Industries& Alternatives,Media and Society,Partially,Substantially,,Substantially,,Partially
MDSC 311,Social Media Empires,Media and Society,,Substantially,,Substantially,,Substantially
MDSC 312,The Art of Experimental Cinema,Media and Society,,Partially,Substantially,Partially,,Partially
MDSC 313,Global Cinema,Media and Society,,Partially,Partially,Partially,Substantially,
MDSC 314,Script to Screen II:The Worksh,Media and Society,,,Substantially,,,
MDSC 315,Intro to  Soc Documentary,Media and Society,,,Substantially,,,
MDSC 316,Narratives of Displacement,Media and Society,,Partially,,Partially,Substantially,Partially
MDSC 318,Digital Africana Studies,Media and Society,,Substantially,,Substantially,Partially,Partially
MDSC 319,Listening to the Finger Lakes,Media and Society,,Substantially,Substantially,Substantially,,
MDSC 329,Global Musicals,Media and Society,,Partially,,Partially,Substantially,
MDSC 333,Global Video Games,Media and Society,,Partially,Partially,Partially,Substantially,
MDSC 335,Visibility Matters,Media and Society,,,,,Substantially,Partially
MDSC 390,The Video Essay,Media and Society,,Partially,Substantially,Partially,,
MDSC 415,Advanced Social Documentary,Media and Society,,,Substantially,,,
MGMT 110,Leadership Theory,Economics,,Substantially,,Substantially,,Substantially
MGMT 201,Quantitative Tools,Economics,Partially,,,,,
MGMT 203,Doing Well and Doing Good,Economics,,Partially,,Partially,,Substantially
MGMT 220,Soc Innovation for the Entrepr,Economics,,Substantially,,Substantially,,Partially
MNST 101,College Men,Men's Studies,,Partially,,Partially,Partially,Partially
MNST 301,Theories of Masculinity,Men's Studies,,Partially,,Partially,Partially,Partially
MUS 100,Intro. to Music Literature,Music,,,Partially,,,
MUS 110,Intro to Music Theory,Music,,,Substantially,,,
MUS 120,How Music Works,Music,,,Substantially,,,
MUS 130,Beethoven,Music,,,Partially,,,
MUS 135,Music in America 1750-2000,Music,,,Partially,,,
MUS 160,The Symphony,Music,,,Partially,,,
MUS 190,History of Rock & Roll,Music,,Substantially,,Substantially,Partially,
MUS 194,Hip Hop: Global Phenomenon,Music,,Substantially,,Substantially,Substantially,
MUS 202,Medieval/Renaissance,Music,,,Partially,,,
MUS 203,Baroque-Classical,Music,,,Partially,,,
MUS 204,Romantic - Modern,Music,,,Partially,,,
MUS 205,Music at the Movies,Music,,Partially,Partially,Partially,,
MUS 207,Big Band-Bossa: Jazz His'y,Music,,Partially,Partially,Partially,,
MUS 209,Women in Music,Music,,Substantially,Partially,Substantially,,
MUS 210,Remixing Western Music History,Music,,Partially,Partially,Partially,Substantially,
MUS 211,"Sci, Hist & Art of Video Game",Music,,,Substantially,,,
MUS 213,Philosophy of Music,Music,,,Partially,,,Partially
MUS 214,"Rock, Pop, & the Written Word",Music,,,Partially,,,
MUS 215,"Power, Privilege, the Other",Music,,Substantially,Partially,Substantially,Partially,
MUS 220,Performance Lab I,Music,,,Substantially,,,
MUS 221,Intro Music Therapy,Music,,,Substantially,,,Substantially
MUS 235,Music and Noise,Music,,,Partially,,,
MUS 304,Composition,Music,,,Substantially,,,
MUS 305,Conducting,Music,,,Substantially,,,
MUS 310,People Making Music,Music,,,Partially,,Substantially,
MUS 311,Global Pop Music,Music,,,Substantially,,,
MUS 320,Theory/Aural Skills III-Chrom,Music,,,Substantially,,,
MUS 320,Performance Lab II,Music,,,Substantially,,,
MUS 460,Seminar in Music,Music,,,Substantially,,,
MUS 920,Jazz Ensemble,Music,,,Partially,,,
MUS 922,Classical Guitar Ensemble,Music,,,Partially,,,
MUS 923,Jazz Guitar Ensemble,Music,,,Partially,,,
MUS 924,Percussion Ensemble,Music,,,Partially,,,
MUS 930,Chorale,Music,,,Partially,,,
MUS 935,Community Chorus,Music,,,Partially,,,
MUS 945,String Ensemble,Music,,,Partially,,,
MUS 950,Community Wind Ensemble,Music,,,Partially,,,
PBHL 100,Intro to Public Health,Hobart and William Smith,,Partially,,Partially,,Partially
PBHL 201,Epidemiology,Hobart and William Smith,Substantially,Partially,,Partially,,
PHIL 100,Intro. to Philosophy,Philosophy,,,,,,Partially
PHIL 130,Moral Dilemmas:,Philosophy,,,,,,Substantially
PHIL 151,Cont.Issues:Crime & Punishment,Philosophy,,,,,,Substantially
PHIL 152,Cont. Issues: Phil & Feminism,Philosophy,,Substantially,,Substantially,,Substantially
PHIL 154,Cont.Issues: Environ. Ethics,Philosophy,,,,,,Substantially
PHIL 155,Cont.Issues:Morality and War,Philosophy,,,,,,Substantially
PHIL 156,Biomedical Ethics,Philosophy,,,,,,Substantially
PHIL 157,Ethical Inquiry: Multicult App,Philosophy,,Partially,,Partially,Partially,Substantially
PHIL 158,Debating Public Policy,Philosophy,,,,,,Substantially
PHIL 159,Cont. Issues: Global Justice,Philosophy,,,,,,Substantially
PHIL 162,Ethics Civic Engagement,Philosophy,,Partially,,Partially,,Substantially
PHIL 210,Philosophy of Race & Racism,Philosophy,,Substantially,,Substantially,Partially,Partially
PHIL 215,Aristotle,Philosophy,,,,,,Partially
PHIL 220,Semiotics,Philosophy,,Partially,,Partially,Partially,
PHIL 230,Aesthetics,Philosophy,,,,,Partially,
PHIL 232,Liberty & Community,Philosophy,,,,,,Substantially
PHIL 233,Cosmopolit'ism & Global Ethics,Philosophy,,,,,,Substantially
PHIL 234,Theories of Morality,Philosophy,,,,,,Substantially
PHIL 235,Morality & Self-Interest,Philosophy,,,,,,Substantially
PHIL 236,Philosophy of Law,Philosophy,,,,,,Substantially
PHIL 237,Philosophy of Religion,Philosophy,,,,,Partially,
PHIL 240,Symbolic Logic,Philosophy,Partially,,,,,
PHIL 243,Philosophy of Sex and Love,Philosophy,,Partially,,Partially,,Partially
PHIL 250,Feminism: Ethics & Knowledge,Philosophy,,Substantially,,Substantially,,Substantially
PHIL 254,"Technology, Truth, and Trust",Philosophy,,Substantially,,Substantially,,Substantially
PHIL 256,Health Care Policy,Philosophy,,,,,,Substantially
PHIL 271,Medieval Philosophy,Philosophy,,,,,Substantially,Partially
PHIL 310,"Cooperation, Compet. & Justice",Philosophy,,,,,,Substantially
PHIL 312,Language and Power,Philosophy,,Partially,,Partially,,Substantially
PHIL 315,Seminar: Social Justice,Philosophy,,,,,,Substantially
PHIL 330,History of Moral Theory,Philosophy,,,,,,Substantially
PHIL 345,"Power, Privilege, & Knowledge",Philosophy,,Substantially,,Substantially,,Substantially
PHIL 346,Critical Theory: Hist and Cult,Philosophy,,Substantially,,Substantially,,
PHIL 373,Kant,Philosophy,,,,,,Partially
PHYS 110,Star Trek Physics,Physics,,,,,,
PHYS 112,Intro to Astronomy,Physics,Partially,,,,,
PHYS 113,Suns and Planets,Physics,Partially,,,,,
PHYS 114,"Stars, Galaxies & the Universe",Physics,,,,,,
PHYS 115,Astrobiology,Physics,Partially,,,,,
PHYS 120,Physics of Dance,Physics,Substantially,,,,,
PHYS 135,Light,Physics,Partially,,,,,
PHYS 140,Principles of Physics,Physics,Substantially,,,,,
PHYS 150,Intro. Physics I,Physics,Substantially,,,,,
PHYS 160,Intro Physics II,Physics,Substantially,,,,,
PHYS 225,Observational Astronomy,Physics,Substantially,,,,,
PHYS 240,Electronics,Physics,Substantially,,,,,
PHYS 252,Green Energy,Physics,Substantially,,,,,
PHYS 260,Waves and Optics,Physics,Substantially,,,,,
PHYS 262,Applied Photonics,Physics,Substantially,,,,,
PHYS 270,Modern Physics,Physics,Substantially,,,,,
PHYS 285,Math Methods,Physics,Substantially,,,,,
PHYS 287,Computational Methods,Physics,Substantially,,,,,
PHYS 340,Introduction to Astrophysics,Physics,Substantially,,,,,
PHYS 351,Mechanics,Physics,Substantially,,,,,
PHYS 352,Quantum Mechanics,Physics,Substantially,,,,,
PHYS 361,Electricity and Magnetism,Physics,Substantially,,,,,
PHYS 375,Thermal Physics,Physics,Substantially,,,,,
PHYS 383,Advanced Laboratory,Physics,Substantially,,,,,
PHYS 460,Independent Capstone Project,Physics,Substantially,,,,,
PHYS 465,Quantum Computing,Physics,Substantially,,,,,
PHYS 470,"Relativity, Spacetime& Gravity",Physics,Substantially,,,,,
PHYS 480,Contemp Inquiries: Symmetry,Physics,Substantially,,,,,
PHYS 489,Capstone Experience,Physics,Substantially,,,,,
POL 110,Intro to American Politics,Political Science,,Partially,,Partially,,Partially
POL 140,Intro Comparative World Politi,Political Science,,Partially,,Partially,Substantially,Partially
POL 160,Intro to Political Theory,Political Science,,,,,,Partially
POL 175,Intro to Feminist Theory,Political Science,,Substantially,,Substantially,,Substantially
POL 201,The Politics of Climate Change,Political Science,,,,,,Partially
POL 204,Modern American Conservatism,Political Science,,Partially,,Partially,Partially,Partially
POL 207,Governing Through Crime,Political Science,,Partially,,Partially,,Partially
POL 209,Social Movements in America,Political Science,,Substantially,,Substantially,,Partially
POL 211,Visions of the City,Political Science,,Partially,,Partially,,
POL 213,Politics of China,Political Science,,,,,Substantially,
POL 215,Racial and Ethnic Politics,Political Science,,Substantially,,Substantially,,
POL 238,Sex and Power,Political Science,,Partially,,Partially,Partially,Partially
POL 243,Mystery of  E Central Europe,Political Science,,,,,Substantially,Partially
POL 244,Diverse Europe,Political Science,,,,,Substantially,
POL 245,Politics of the New Europe,Political Science,,,,,Substantially,Partially
POL 249,"Protests, Movements, Unions",Political Science,,Substantially,,Substantially,,Partially
POL 255,Latin American Politics I,Political Science,,,,,Substantially,
POL 257,Russia/China Resurgent,Political Science,,,,,Substantially,Partially
POL 265,Modern Political Theory,Political Science,,Substantially,,Substantially,,Substantially
POL 267,20th Century Political Theory,Political Science,,Substantially,,Substantially,,Substantially
POL 289,Theories of American Democracy,Political Science,,Partially,,Partially,,Partially
POL 303,Campaigns and Elections,Political Science,,Partially,,Partially,,
POL 310,Midterm Campaigns and Election,Political Science,,Partially,,Partially,,
POL 326,Urban Politics,Political Science,,Substantially,,Substantially,,
POL 329,American Democracy Today,Political Science,,Partially,,Partially,,Substantially
POL 333,Civil Rights,Political Science,,Partially,,Partially,,Partially
POL 334,Civil Liberties,Political Science,,Partially,,Partially,,Partially
POL 335,Law and Society,Political Science,,Partially,,Partially,,Partially
POL 348,"Racisms, Class, and Conflicts",Political Science,,Substantially,,Substantially,,Partially
POL 361,Quantitative Research Methods,Political Science,Substantially,,,,,
POL 363,Digital Networks,Political Science,,,,,,Substantially
POL 370,Black Radical Pol Thought,Political Science,,Substantially,,Substantially,,
POL 378,What is Socialism?,Political Science,,Partially,,Partially,,Substantially
POL 379,Radical Thought K.Marx to G.Bu,Political Science,,,,,,Partially
PORT 101,NY6: Beginning Portuguese,Self-Instructional Language Pg,,,,,Substantially,
PORT 102,Beg. Braz-Portuguese II,Self-Instructional Language Pg,,,,,Substantially,
PORT 201,Interm. Braz-Portuguese I,Self-Instructional Language Pg,,,,,Substantially,
PPOL 101,Democracy and Public Policy,Public Policy,,Substantially,,Substantially,,Substantially
PPOL 201,"Policy Making, lmpl., Eval",Public Policy,Partially,Partially,,Partially,,Partially
PPOL 202,"Policy Making, Impl., Eval.",Public Policy,Partially,Partially,,Partially,,Partially
PPOL 219,Sexual Minorty Mvmnts&Pub Poli,Public Policy,,Substantially,,Substantially,,Substantially
PPOL 328,Environmental Policy,Public Policy,,,,,,Substantially
PPOL 364,Social Policy&Community Activi,Public Policy,,Substantially,,Substantially,,Substantially
PSY 201,Psychology Statistics,Psychological Science,Substantially,,,,,
PSY 202,Psychology Research Design,Psychological Science,,,,,,
PSY 203,Intro. Child Psychology,Psychological Science,,Partially,,Partially,,
PSY 205,Adolescent Psychology,Psychological Science,,Partially,,Partially,,
PSY 220,Intro to Personality,Psychological Science,,,,,,
PSY 221,Intro to Psychopathology,Psychological Science,,Partially,,Partially,,
PSY 222,Developmental Psychopathology,Psychological Science,,Partially,,Partially,,
PSY 227,Intro to Social Psychology,Psychological Science,,Partially,,Partially,,
PSY 230,Biopsychology,Psychological Science,,,,,,
PSY 231,Cognitive Psychology,Psychological Science,,,,,,
PSY 232,Intro to Health Psychology,Psychological Science,,Partially,,Partially,Partially,
PSY 233,Psycholinguistics,Psychological Science,,Partially,,Partially,Partially,
PSY 235,Cognitive Neuroscience,Psychological Science,,,,,,
PSY 244,Latin American Psychology,Psychological Science,,Partially,,Partially,Partially,
PSY 245,Intro to Cultural Psychology,Psychological Science,,Partially,,Partially,Partially,
PSY 275,Human Sexuality,Psychological Science,,Partially,,Partially,,
PSY 299,Sensation and Perception,Psychological Science,,,,,,
PSY 303,Adv Theory & Design in Dev Psy,Psychological Science,,,,,,Partially
PSY 307,History and Systems,Psychological Science,,,,,,
PSY 309,Topics Sensation & Perception,Psychological Science,Partially,,,,,
PSY 310,Res. in Sensation & Perception,Psychological Science,Partially,,,,,Partially
PSY 311,Research in Behavioral Neurosc,Psychological Science,Partially,,,,,Partially
PSY 321,Research in Develop. Psycholog,Psychological Science,Partially,,,,,Partially
PSY 322,Research in Personality,Psychological Science,Partially,,,,,Partially
PSY 323,Adv Theory&Des Personality Psy,Psychological Science,,,,,,Partially
PSY 327,Research in Social Psych,Psychological Science,Partially,,,,,Partially
PSY 328,Adv Theory & Design in Soc Psy,Psychological Science,,,,,,Partially
PSY 331,Research in Cognition,Psychological Science,Partially,,,,,Partially
PSY 335,Theory & Design in Cognition,Psychological Science,Partially,,,,,
PSY 344,Topics in Personality,Psychological Science,,,,,,
PSY 345,Psychology for the Public Good,Psychological Science,,,,,,Partially
PSY 346,Topics in Cultural Psy,Psychological Science,,,,,Partially,
PSY 347,Research in Cultural Psy,Psychological Science,Partially,,,,Partially,
PSY 348,Adv. Theory & Design Cult Psy,Psychological Science,,,,,Partially,Partially
PSY 350,Res. in Clinical Psychology,Psychological Science,Partially,,,,,Partially
PSY 352,Topics: Clinical Psychology,Psychological Science,,Partially,,Partially,,Partially
PSY 353,Adv Theory & Design in ClinPsy,Psychological Science,,,,,,Partially
PSY 359,Topics Behavioral Neuroscience,Psychological Science,,,,,,
PSY 370,Topics in Developmental Psy,Psychological Science,,Partially,,Partially,,Partially
PSY 373,Topics in Social Psychology,Psychological Science,,Partially,,Partially,,Partially
PSY 375,Topics in Cognitive Psychology,Psychological Science,,,,,,
PSY 398,Theory & Design in Perception,Psychological Science,Partially,,,,,Partially
REL 103,Journeys and Stories,Religious Studies,,Substantially,,Substantially,Substantially,
REL 105,"Religion, Peace, and Conflict",Religious Studies,,Partially,,Partially,Substantially,Partially
REL 108,Religion & Alienation,Religious Studies,,,,,Substantially,Substantially
REL 109,Imagining Amer Rel,Religious Studies,,Substantially,,Substantially,Substantially,
REL 115,Imagining Asian Religion/s,Religious Studies,,Partially,,Partially,Substantially,Partially
REL 201,Trekking through Asia,Religious Studies,,Substantially,,Substantially,Substantially,
REL 209,Muslim Jesus,Religious Studies,,,,,Substantially,Partially
REL 210,Hinduism,Religious Studies,,,,,Substantially,
REL 211,Buddhism,Religious Studies,,,,,Substantially,
REL 213,Death and Dying,Religious Studies,,Partially,,Partially,Partially,Partially
REL 215,Japanese Religions,Religious Studies,,,,,Substantially,
REL 219,Islam and Society,Religious Studies,,,,,Substantially,Substantially
REL 225,Jpn Philosophy&ReligiouThought,Religious Studies,,,,,Substantially,Substantially
REL 226,Religion and Nature,Religious Studies,,,,,Substantially,Substantially
REL 228,Religion and Resistance,Religious Studies,,,,,Substantially,Substantially
REL 232,Rethinking Jesus,Religious Studies,,Substantially,,Substantially,Substantially,
REL 236,"Gender, Sexuality, and Islam",Religious Studies,,Substantially,,Substantially,Substantially,
REL 237,Christianity and Culture,Religious Studies,,Substantially,,Substantially,Substantially,
REL 238,Liberating Theology,Religious Studies,,Substantially,,Substantially,,Substantially
REL 239,Nihilism East and West,Religious Studies,,,,,,Substantially
REL 240,What is Christianity?,Religious Studies,,Substantially,,Substantially,Substantially,
REL 241,Rastaman and Christ,Religious Studies,,Substantially,,Substantially,Substantially,
REL 242,Islamic Mysticism,Religious Studies,,,,,Substantially,Substantially
REL 243,Suffering and Salvation,Religious Studies,,,,,Substantially,Partially
REL 244,Christianity in East Asia,Religious Studies,,Partially,,Partially,Substantially,
REL 249,Native Amer Religion & Histori,Religious Studies,,Substantially,,Substantially,Substantially,
REL 250,Race and Religion,Religious Studies,,Substantially,,Substantially,Substantially,
REL 253,CreatioStories:WhyThey Matter,Religious Studies,,,,,Substantially,Substantially
REL 255,Peace and Violence in Quran,Religious Studies,,Partially,,Partially,Partially,Substantially
REL 257,What's Love Got to Do,Religious Studies,,Substantially,,Substantially,,Substantially
REL 260,Religion & Philosophy,Religious Studies,,Partially,,Partially,Substantially,Partially
REL 263,Rel & Social Theory,Religious Studies,,Substantially,,Substantially,,
REL 264,South Asian Religions,Religious Studies,,Partially,,Partially,Substantially,
REL 265,The West and the Qur'an,Religious Studies,,,,,Substantially,Partially
REL 267,Psychologies of Religion,Religious Studies,,,,,Substantially,
REL 270,Mod. Jewish History,Religious Studies,,,,,Substantially,Partially
REL 271,The Holocaust,Religious Studies,,Substantially,,Substantially,,Substantially
REL 272,Sociology of the American Jew,Religious Studies,,Substantially,,Substantially,Substantially,
REL 273,Jewish Thought,Religious Studies,,,,,Substantially,Substantially
REL 274,"Zionism,Israel,Mideast Conflic",Religious Studies,,Substantially,,Substantially,Substantially,
REL 278,Modern Judaism,Religious Studies,,,,,,Substantially
REL 279,Torah and Testament,Religious Studies,,Substantially,,Substantially,Substantially,
REL 280,Negotiating Islam,Religious Studies,,Partially,,Partially,Substantially,Partially
REL 281,"Women, Rel & Culture",Religious Studies,,Substantially,,Substantially,Substantially,
REL 283,Que(e)rying Religious Studies,Religious Studies,,Substantially,,Substantially,Substantially,
REL 284,Contesting Gods in America,Religious Studies,,,,,Substantially,Partially
REL 285,Medieval Philosophy,Religious Studies,,,,,Substantially,Partially
REL 286,Islam and Environment,Religious Studies,,,,,Substantially,Substantially
REL 287,"Asking Questions, Get Answers",Religious Studies,,Substantially,,Substantially,Substantially,
REL 288,Religious Extremism,Religious Studies,,,,,Substantially,Substantially
REL 289,Material Culture and Islam,Religious Studies,,,,,Substantially,Substantially
REL 290,Human Rights & Religion,Religious Studies,,Partially,,Partially,Substantially,Partially
REL 291,The Ethics of Identity,Religious Studies,,Substantially,,Substantially,,Substantially
REL 292,Deviance & (De)Medicalization,Religious Studies,,Substantially,,Substantially,,Substantially
REL 293,Racial Utopias,Religious Studies,,Substantially,,Substantially,,Substantially
REL 294,Religion and Sports,Religious Studies,,Substantially,,Substantially,,Substantially
REL 304,Buddhist Philosophy,Religious Studies,,Partially,,Partially,Substantially,Partially
REL 305,Sem:Pentecostalism,Religious Studies,,Substantially,,Substantially,Substantially,
REL 306,The Perfectible Body,Religious Studies,,Substantially,,Substantially,Substantially,
REL 311,Mahabharata,Religious Studies,,,,,Substantially,Substantially
REL 335,Jihad,Religious Studies,,Partially,,Partially,Substantially,Partially
REL 345,Sem:Tradition Transformers,Religious Studies,,Substantially,,Substantially,,Substantially
REL 347,Gender&Identity in Muslim Worl,Religious Studies,,Substantially,,Substantially,Substantially,
REL 350,Sem: Nationalism,Religious Studies,,Substantially,,Substantially,Substantially,
REL 370,Jewish Mysticism,Religious Studies,,Substantially,,Substantially,Substantially,
REL 371,Responses to the Holocaust,Religious Studies,,,,,Substantially,Substantially
REL 461,Sem: Theory in Religious Studi,Religious Studies,,Substantially,,Substantially,,Substantially
ROM 200,Res Cultural Diversity of Rome,Global Education,,Partially,,Partially,Substantially,
ROM 207,Edible Italy,Global Education,,Partially,,Partially,Substantially,
ROM 208,Italian Creativities,Global Education,,,Substantially,,Partially,
ROM 211,Terra Italiana,Global Education,,Substantially,,Substantially,Partially,
ROM 212,Sustainable Rome,Global Education,,Partially,,Partially,Substantially,
ROM 216,Love/Death/Rome,Global Education,,Partially,Partially,Partially,Substantially,
ROM 217,Urbs Antiqua,Global Education,,Partially,,Partially,Substantially,Partially
ROM 218,Art Resoration,Global Education,,,,,Partially,Partially
ROM 219,"Italian Food, Culture & Societ",Global Education,,,,,Substantially,Partially
ROM 220,Daily Life in Imperial Rome,Global Education,,Partially,,Partially,Substantially,
ROM 225,Roman Media Exhibition,Global Education,,,,,Substantially,
ROM 226,Made in Italy,Global Education,,,Substantially,,,
ROM 296,Inventing Rome,Global Education,,,Partially,,Substantially,
RUS 101,Beginning Russian I,Russian,,,,,Substantially,
RUS 102,Beginning Russian II,Russian,,,,,Substantially,
RUS 201,Intermediate Russian I,Russian,,,,,Substantially,
RUS 202,Intermediate Russian II,Russian,,,,,Substantially,
RUS 203,Intermediate Russian III,Russian Area Studies (English),,,,,Substantially,
RUS 205,Georgia Past and Present,Global Education,,Partially,,Partially,Substantially,
RUS 310,Adv. Russian I,Russian,,,,,Substantially,
RUS 311,Topics: Russian Lang  & Cultur,Russian,,,,,Substantially,
RUS 410,Topics: Rus Lang & Cultur,Russian,,,,,Substantially,
RUS 411,Topics: Russian Lang  & Cultur,Russian,,,,,Substantially,
RUS 416,Intensive Russian-Siberia,Russian Area Studies (English),,,,,Substantially,
RUS 417,Intensive Culture-Siberia,Russian Area Studies (English),,,,,Substantially,
RUSE 101,Blood and Ice: Russian Empires,Russian Area Studies (English),,Substantially,,Substantially,Substantially,
RUSE 112,Dangerous Words: Rus Lit & Soc,Russian Area Studies (English),,Partially,,Partially,Substantially,Partially
RUSE 120,Sport and Ideology,Russian Area Studies (English),,Substantially,,Substantially,Substantially,
RUSE 137,Vampires:From Vlad to Buffy,Russian Area Studies (English),,,,,Substantially,
